Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm)
245.049106262983,10,14,5,NA,1,NA,C10H14O5S1,0,S1 O5,245.048918271149,0.767160432094031
258.052350985,10,14,5,NA,1,NA,C10H14O5S113C1,1,13C1 S1 O5,258.052273106219,0.30179459220718
229.071877870747,10,14,6,NA,NA,NA,C10H14O6,0,O6,229.071761716319,0.507065678578824
337.992627228989,10,14,6,1,2,1,C10H14O6N1P1S2,0,N1 S2 P1 O6,337.992740067969,-0.333850306521361
257.078009197491,10,14,6,2,NA,NA,C10H14O6N2,0,N2 O6,257.077909725179,0.386934497772412
245.066840270078,10,14,7,NA,NA,NA,C10H14O7,0,O7,245.066676335889,0.668937089273969
322.014366540627,10,14,7,NA,2,NA,C10H14O7S213C1,1,13C1 S2 O7,322.014173519759,0.599417303866843
261.061787669403,10,14,8,NA,NA,NA,C10H14O8,0,O8,261.061590955459,0.753515457081818
369.982208716998,10,14,8,1,2,1,C10H14O8N1P1S2,0,N1 S2 P1 O8,369.982569307109,-0.974613781989937
293.03364573974,10,14,8,NA,1,NA,C10H14O8S1,0,S1 O8,293.033662129859,-0.0559325469729357
277.056469401569,10,14,9,NA,NA,NA,C10H14O9,0,O9,277.056505575029,-0.130563473227412
337.034878687515,10,14,9,2,1,NA,C10H14O9N2S1,0,N2 S1 O9,337.034724758289,0.456716221404081
333.068704807423,10,14,9,4,NA,NA,C10H14O9N4,0,N4 O9,333.068801592749,-0.290586585723236
309.028698059485,10,14,9,NA,1,NA,C10H14O9S1,0,S1 O9,309.028576749429,0.392552875407051
257.069860643,10,15,4,2,-9999,1,C10H15O4N2P1,0,N2 P1 O4,257.069667517,0.751260469
305.054598783074,10,15,7,2,NA,1,C10H15O7N2P1,0,N2 P1 O7,305.054411375399,0.614341794866232
277.048436628,10,15,7,-9999,-9999,1,C10H15O7P1,0,P1 O7,277.048263367,0.625382467
353.021612909562,10,15,8,2,1,1,C10H15O8N2P1S1,0,N2 S1 P1 O8,353.021397169369,0.611124976600077
349.055270985,10,15,8,4,-9999,1,C10H15O8N4P1,0,N4 P1 O8,349.055474004,-0.581624087
293.043462771,10,15,8,-9999,-9999,1,C10H15O8P1,0,P1 O8,293.043177986,0.971820449
292.067672074366,10,15,9,1,NA,NA,C10H15O9N1,0,N1 O9,292.067404611689,0.915756679628
324.039658039822,10,15,9,1,1,NA,C10H15O9N1S1,0,N1 S1 O9,324.039475786089,0.562442993282978
337.044484182,10,15,9,2,-9999,1,C10H15O9N2P1,0,N2 P1 O9,337.044240615,0.722657173
256.066277218533,10,16,1,2,2,NA,C10H16O1N2S213C1,1,13C1 N2 S2 O1,256.066483875659,-0.807044805662036
215.05682057021,10,16,1,NA,2,NA,C10H16O1S2,0,S2 O1,215.056981031729,-0.746134900566131
199.097565329164,10,16,4,NA,NA,NA,C10H16O4,0,O4,199.097582541639,-0.0864524553187495
212.100962788543,10,16,4,NA,NA,NA,C10H16O413C1,1,13C1 O4,212.100937376709,0.119810095562844
215.09260027786,10,16,5,NA,NA,NA,C10H16O5,0,O5,215.092497161209,0.479406080545543
247.064329779605,10,16,5,NA,1,NA,C10H16O5S1,0,S1 O5,247.064568335609,-0.965561374669144
231.087567677193,10,16,6,NA,NA,NA,C10H16O6,0,O6,231.087411780779,0.674620969676259
247.082475076502,10,16,7,NA,NA,NA,C10H16O7,0,O7,247.082326400349,0.601727184847856
320.065508644302,10,16,7,3,NA,1,C10H16O7N3P1,0,N3 P1 O7,320.065310412059,0.619349352382652
279.054468961577,10,16,7,NA,1,NA,C10H16O7S1,0,S1 O7,279.054397574749,0.255816890905347
295.049211707179,10,16,8,NA,1,NA,C10H16O8S1,0,S1 O8,295.049312194319,-0.340577441008816
307.078098549852,10,16,9,2,NA,NA,C10H16O9N2,0,N2 O9,307.078303648349,-0.667902925488319
352.053990266049,10,16,9,2,1,NA,C10H16O9N2S113C1,1,13C1 N2 S1 O9,352.053729657819,0.740251297526232
311.044266026916,10,16,9,NA,1,NA,C10H16O9S1,0,S1 O9,311.044226813889,0.126068974308855
403.995833518778,10,17,10,NA,2,1,C10H17O10P1S213C1,1,13C1 S2 P1 O10,403.996154473579,-0.794450139507217
214.108479286886,10,17,4,1,NA,NA,C10H17O4N1,0,N1 O4,214.108481578299,-0.0107021104280404
