Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
367.066195152,C10H17O9N4P1,C10H17O9N4P,C10H17O9N4P1,C10H17O9N4P,FALSE,FALSE
311.054040761,C10H17O9P1,C10H17O9P,C10H17O9P1,C10H17O9P,FALSE,FALSE
297.039064906,C10H19O4P1S2,C10H19O4S2P,C10H19O4P1S2,C10H19O4S2P,FALSE,FALSE
309.067776492,C10H19O5N2P1S1,C10H19O5N2SP,C10H19O5N2P1S1,C10H19O5N2SP,FALSE,FALSE
249.089965016,C10H19O5P1,C10H19O5P,C10H19O5P1,C10H19O5P,FALSE,FALSE
265.084892567,C10H19O6P1,C10H19O6P,C10H19O6P1,C10H19O6P,FALSE,FALSE
341.058063646,C10H19O7N2P1S1,C10H19O7N2SP,C10H19O7N2P1S1,C10H19O7N2SP,FALSE,FALSE
281.079737743,C10H19O7P1,C10H19O7P,C10H19O7P1,C10H19O7P,FALSE,FALSE
325.080759233,C10H19O8N2P1,C10H19O8N2P,C10H19O8N2P1,C10H19O8N2P,FALSE,FALSE
297.074615663,C10H19O8P1,C10H19O8P,C10H19O8P1,C10H19O8P,FALSE,FALSE
329.046700282,C10H19O8P1S1,C10H19O8SP,C10H19O8P1S1,C10H19O8SP,FALSE,FALSE
369.081828342,C10H19O9N4P1,C10H19O9N4P,C10H19O9N4P1,C10H19O9N4P,FALSE,FALSE
313.069592967,C10H19O9P1,C10H19O9P,C10H19O9P1,C10H19O9P,FALSE,FALSE
280.095782152,C10H20O6N1P1,C10H20O6NP,C10H20O6N1P1,C10H20O6NP,FALSE,FALSE
344.039941062,C10H20O6N1P1S2,C10H20O6NS2P,C10H20O6N1P1S2,C10H20O6NS2P,FALSE,FALSE
263.116855352,C10H21O4N2P1,C10H21O4N2P,C10H21O4N2P1,C10H21O4N2P,FALSE,FALSE
235.110655494,C10H21O4P1,C10H21O4P,C10H21O4P1,C10H21O4P,FALSE,FALSE
307.117534559,C10H21O5N4P1,C10H21O5N4P,C10H21O5N4P1,C10H21O5N4P,FALSE,FALSE
251.105631763,C10H21O5P1,C10H21O5P,C10H21O5P1,C10H21O5P,FALSE,FALSE
283.077174487,C10H21O5P1S1,C10H21O5SP,C10H21O5P1S1,C10H21O5SP,FALSE,FALSE
295.106740754,C10H21O6N2P1,C10H21O6N2P,C10H21O6N2P1,C10H21O6N2P,FALSE,FALSE
267.100435092,C10H21O6P1,C10H21O6P,C10H21O6P1,C10H21O6P,FALSE,FALSE
339.107776139,C10H21O7N4P1,C10H21O7N4P,C10H21O7N4P1,C10H21O7N4P,FALSE,FALSE
283.095444265,C10H21O7P1,C10H21O7P,C10H21O7P1,C10H21O7P,FALSE,FALSE
355.102725354,C10H21O8N4P1,C10H21O8N4P,C10H21O8N4P1,C10H21O8N4P,FALSE,FALSE
299.090316589,C10H21O8P1,C10H21O8P,C10H21O8P1,C10H21O8P,FALSE,FALSE
343.091453135,C10H21O9N2P1,C10H21O9N2P,C10H21O9N2P1,C10H21O9N2P,FALSE,FALSE
371.097633211,C10H21O9N4P1,C10H21O9N4P,C10H21O9N4P1,C10H21O9N4P,FALSE,FALSE
315.085170996,C10H21O9P1,C10H21O9P,C10H21O9P1,C10H21O9P,FALSE,FALSE
250.121536125,C10H22O4N1P1,C10H22O4NP,C10H22O4N1P1,C10H22O4NP,FALSE,FALSE
266.116432264,C10H22O5N1P1,C10H22O5NP,C10H22O5N1P1,C10H22O5NP,FALSE,FALSE
294.122649197,C10H22O5N3P1,C10H22O5N3P,C10H22O5N3P1,C10H22O5N3P,FALSE,FALSE
342.107430523,C10H22O8N3P1,C10H22O8N3P,C10H22O8N3P1,C10H22O8N3P,FALSE,FALSE
265.132523527,C10H23O4N2P1,C10H23O4N2P,C10H23O4N2P1,C10H23O4N2P,FALSE,FALSE
297.104291317,C10H23O4N2P1S1,C10H23O4N2SP,C10H23O4N2P1S1,C10H23O4N2SP,FALSE,FALSE
237.126329898,C10H23O4P1,C10H23O4P,C10H23O4P1,C10H23O4P,FALSE,FALSE
313.099563642,C10H23O5N2P1S1,C10H23O5N2SP,C10H23O5N2P1S1,C10H23O5N2SP,FALSE,FALSE
317.065139015,C10H23O5P1S2,C10H23O5S2P,C10H23O5P1S2,C10H23O5S2P,FALSE,FALSE
269.116171581,C10H23O6P1,C10H23O6P,C10H23O6P1,C10H23O6P,FALSE,FALSE
285.110955986,C10H23O7P1,C10H23O7P,C10H23O7P1,C10H23O7P,FALSE,FALSE
349.055205119,C10H23O7P1S2,C10H23O7S2P,C10H23O7P1S2,C10H23O7S2P,FALSE,FALSE
329.112125644,C10H23O8N2P1,C10H23O8N2P,C10H23O8N2P1,C10H23O8N2P,FALSE,FALSE
357.118409535,C10H23O8N4P1,C10H23O8N4P,C10H23O8N4P1,C10H23O8N4P,FALSE,FALSE
301.106062682,C10H23O8P1,C10H23O8P,C10H23O8P1,C10H23O8P,FALSE,FALSE
365.0499929,C10H23O8P1S2,C10H23O8S2P,C10H23O8P1S2,C10H23O8S2P,FALSE,FALSE
373.113342028,C10H23O9N4P1,C10H23O9N4P,C10H23O9N4P1,C10H23O9N4P,FALSE,FALSE
