#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Locality_Description,Country,State_or_Province,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
HJW_44_Water,10.58052/IEWDR02B0,10.58052/IEWDR029O,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.236631,-122.161001,stream,Nostoc Creek,58,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_45_Water,10.58052/IEWDR02B1,10.58052/IEWDR029P,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.23149,-122.173402,stream,Nostoc Creek,155,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_46_Water,10.58052/IEWDR02B2,10.58052/IEWDR029Q,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.22975,-122.18232,stream,N/A,74,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_47_Water,10.58052/IEWDR02B3,10.58052/IEWDR029R,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.23111,-122.19589,stream,N/A,190,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_48_Water,10.58052/IEWDR02B4,10.58052/IEWDR029S,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.231858,-122.159554,stream,Lookout Creek,67,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_01_Sediment,10.58052/IEWDR02B5,10.58052/IEWDR028H,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.23283,-122.21525,stream,N/A,71,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_02_Sediment,10.58052/IEWDR02B6,10.58052/IEWDR028I,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.23026,-122.21319,stream,N/A,56,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_03_Sediment,10.58052/IEWDR02B7,10.58052/IEWDR028J,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.212838,-122.245457,stream,N/A,164,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_04_Sediment,10.58052/IEWDR02B8,10.58052/IEWDR028K,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.226882,-122.226194,stream,N/A,54,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-27,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_05_Sediment,10.58052/IEWDR02B9,10.58052/IEWDR028L,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2345,-122.20727,stream,McRae Creek,47,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_06_Sediment,10.58052/IEWDR02BA,10.58052/IEWDR028M,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2075,-122.1175,stream,Lookout Creek,64,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_07_Sediment,10.58052/IEWDR02BB,10.58052/IEWDR028N,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2558,-122.1678,stream,McRae Creek,84,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_08_Sediment,10.58052/IEWDR02BC,10.58052/IEWDR028O,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2069,-122.257371,stream,N/A,WS1-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-31,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_09_Sediment,10.58052/IEWDR02BD,10.58052/IEWDR028P,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.219261,-122.242343,stream,N/A,WS3-1,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_10_Sediment,10.58052/IEWDR02BE,10.58052/IEWDR028Q,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.22972,-122.123698,stream,Cold Creek,CC-1,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_11_Sediment,10.58052/IEWDR02BF,10.58052/IEWDR028R,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.230319,-122.121533,stream,Cold Creek,CC-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_12_Sediment,10.58052/IEWDR02BG,10.58052/IEWDR028S,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.230007,-122.12325,stream,Cold Creek,CC-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_13_Sediment,10.58052/IEWDR02BH,10.58052/IEWDR028T,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2438,-122.19927,stream,N/A,410,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_14_Sediment,10.58052/IEWDR02BI,10.58052/IEWDR028U,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.228257,-122.17185,stream,Lookout Creek,156,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_15_Sediment,10.58052/IEWDR02BJ,10.58052/IEWDR028V,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.233089,-122.205658,stream,Lookout Creek,49,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_16_Sediment,10.58052/IEWDR02BK,10.58052/IEWDR028W,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.220126,-122.223296,stream,N/A,KC-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_17_Sediment,10.58052/IEWDR02BL,10.58052/IEWDR028X,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.23149,-122.173402,stream,N/A,45,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_18_Sediment,10.58052/IEWDR02BM,10.58052/IEWDR028Y,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.230238,-122.122745,stream,Cold Creek,CC-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_19_Sediment,10.58052/IEWDR02BN,10.58052/IEWDR028Z,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.219101,-122.241919,stream,N/A,WS3-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_20_Sediment,10.58052/IEWDR02BO,10.58052/IEWDR0290,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.223889,-122.181111,stream,N/A,83,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_21_Sediment,10.58052/IEWDR02BP,10.58052/IEWDR0291,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.264444,-122.175278,stream,N/A,177,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_22_Sediment,10.58052/IEWDR02BQ,10.58052/IEWDR0292,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.265833,-122.170833,stream,N/A,178,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_23_Sediment,10.58052/IEWDR02BR,10.58052/IEWDR0293,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.20626,-122.25458,stream,N/A,WS1-5,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-08-01,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_24_Sediment,10.58052/IEWDR02BS,10.58052/IEWDR0294,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2341,-122.1473,stream,N/A,53,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_25_Sediment,10.58052/IEWDR02BT,10.58052/IEWDR0295,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2066,-122.2568,stream,N/A,WS1-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-31,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_26_Sediment,10.58052/IEWDR02BU,10.58052/IEWDR0296,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.218383,-122.240864,stream,N/A,WS3-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_27_Sediment,10.58052/IEWDR02BV,10.58052/IEWDR0297,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.21787,-122.240308,stream,N/A,WS3-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_28_Sediment,10.58052/IEWDR02BW,10.58052/IEWDR0298,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.217858,-122.240407,stream,N/A,WS3-5,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_29_Sediment,10.58052/IEWDR02BX,10.58052/IEWDR0299,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.230556,-122.125278,stream,N/A,65,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_30_Sediment,10.58052/IEWDR02BY,10.58052/IEWDR029A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2339,-122.1522,stream,N/A,43,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_31_Sediment,10.58052/IEWDR02BZ,10.58052/IEWDR029B,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2225,-122.115278,stream,N/A,170,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_32_Sediment,10.58052/IEWDR02C0,10.58052/IEWDR029C,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.2522,-122.1879,stream,N/A,165,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_33_Sediment,10.58052/IEWDR02C1,10.58052/IEWDR029D,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.221599,-122.222979,stream,N/A,KC-1,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_34_Sediment,10.58052/IEWDR02C2,10.58052/IEWDR029E,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.221167,-122.222992,stream,N/A,KC-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_35_Sediment,10.58052/IEWDR02C3,10.58052/IEWDR029F,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.220877,-122.223152,stream,N/A,KC-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_36_Sediment,10.58052/IEWDR02C4,10.58052/IEWDR029G,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.219678,-122.167744,stream,Mack Creek,72,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_37_Sediment,10.58052/IEWDR02C5,10.58052/IEWDR029H,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.22107,-122.170224,stream,Saddle Creek,73,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_38_Sediment,10.58052/IEWDR02C6,10.58052/IEWDR029I,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon, sieved to less than 2 millimeters, and then put into a bottle. Both the spoon and sieve were cleaned with hydrogen peroxide.",2025 HJ Andrews River Corridor Critical Zone Workshop,44.231616,-122.215742,stream,Lookout Creek,55,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
