#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Locality_Description,Country,State_or_Province,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
HJW_11_Water,10.58052/IEWDR02A3,10.58052/IEWDR028R,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.230319,-122.121533,stream,Cold Creek,CC-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_12_Water,10.58052/IEWDR02A4,10.58052/IEWDR028S,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.230007,-122.12325,stream,Cold Creek,CC-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_13_Water,10.58052/IEWDR02A5,10.58052/IEWDR028T,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2438,-122.19927,stream,N/A,410,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_14_Water,10.58052/IEWDR02A6,10.58052/IEWDR028U,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.228257,-122.17185,stream,Lookout Creek,156,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_15_Water,10.58052/IEWDR02A7,10.58052/IEWDR028V,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.233089,-122.205658,stream,Lookout Creek,49,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_16_Water,10.58052/IEWDR02A8,10.58052/IEWDR028W,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.220126,-122.223296,stream,N/A,KC-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_17_Water,10.58052/IEWDR02A9,10.58052/IEWDR028X,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.23149,-122.173402,stream,N/A,45,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_18_Water,10.58052/IEWDR02AA,10.58052/IEWDR028Y,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.230238,-122.122745,stream,Cold Creek,CC-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_19_Water,10.58052/IEWDR02AB,10.58052/IEWDR028Z,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.219101,-122.241919,stream,N/A,WS3-2,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_20_Water,10.58052/IEWDR02AC,10.58052/IEWDR0290,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.223889,-122.181111,stream,N/A,83,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_21_Water,10.58052/IEWDR02AD,10.58052/IEWDR0291,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.264444,-122.175278,stream,N/A,177,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
