Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
MethodID_Storage,N/A,Method code defining information about storage of the samples that led to the data presented in the column.,text,row_header,N/A,-9999
Methods_Deviation,N/A,"Deviations from the methods codes listed in the header rows. If a row has a methods deviation, it indicates that the sample from that row uses the methods indicated in the deviations column when they conflict with the methods written in the header rows above (MethodID_*).",text,column_header,N/A,-9999
Missing_Value_Code,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. In most cases, the missing value code for numeric data is ""-9999"" and for character data is ""N/A"". Some files also use a missing value format specific to when a data value is below the limit of detection or above/below the standard curve. For these cases: a text string is included in the format ""[data type]_*|*_Raw_Not_Corrected|*_Final_Corrected"" in which the asterisks are the denoted individual data values. See the associated methods deviation (DTL_003) description for more details.",text,column_header,N/A,-9999
Molecular_Formula,N/A,"Molecular Formula. This column is a direct output of CoreMS. ""MolForm"" is the same column.",text,column_header,N/A,-9999
MolForm,N/A,"Molecular Formula. Same as ""Molecular_Formula"" column but shortened.",text,column_header,N/A,-9999
Mono_Isotopic_Index,N/A,Reference to the peak index of the mono-isotopic version of an isotopologue.,numeric,column_header,-9999,1
N,N/A,Nitrogen atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
NOSC,N/A,Nominal Oxidation State of Carbon calculated as per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.00000001
Notes,N/A,Free text field to record notes related to the site visit including weather; site disturbance; or other information relevant to the quality of data collected.,text,column_header,N/A,-9999
NtoC_ratio,N/A,Nitrogen to Carbon ratio.,numeric,column_header,-9999,0.00000001
NtoP_ratio,N/A,Nitrogen to Phosphorous ratio.,numeric,column_header,-9999,1
O,N/A,Oxygen atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
OtoC_ratio,N/A,Oxygen to carbon ratio.,numeric,column_header,-9999,0.00000001
P,N/A,Phosphorous atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
Parent_ID,N/A,The ID associated with the entire kit of supplies and data used by the collaborator to collect data.,text,column_header,N/A,-9999
Parent_IGSN,N/A,The International Generic Sample Number (IGSN) for each site ID.,text,column_header,N/A,-9999
Peak_Area,N/A,Area underneath an assigned peak. We do not calculate this so it is -9999 (missing value used for numeric columns).,numeric,column_header,-9999,-9999
Peak_Height,N/A,"Equivalent to peak intensity (e.g., how big is a peak).",numeric,column_header,-9999,0.1
pH,pH,pH.,numeric,column_header,-9999,0.01
Physiographic_Feature_Name,N/A,Name of the physiographic feature (stream).,text,column_header,N/A,-9999
Primary_Physiographic_Feature,N/A,Type of physical feature that sample was collected from using suggested vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.,text,column_header,N/A,-9999
PtoC_ratio,N/A,Phosphorus to Carbon ratio.,numeric,column_header,-9999,0.00000001
Related_URL,N/A,Related URL associated with the samples.,text,column_header,N/A,-9999
Related_URL_Type,N/A,Type of URL associated with the samples.,text,column_header,N/A,-9999
Reported_Precision,N/A,"Precision of the reported data values. For example, if the values are rounded to 1 decimal place, the precision would be 0.1. Similarly, if a value like 5.24 is reported (rounded to 2 decimal places), its precision would be 0.01.",numeric,column_header,-9999,-9999
Resolving_Power,N/A,Value which describes the instruments capability to distinguish a peak from a different peak given similar mass-to-charge ratios.,numeric,column_header,-9999,0.1
River_Gradient,N/A,General gradient of river. One of the following classes may be selected: relatively flat/gentle gradient (e.g.; valleys) or relatively steep gradient (e.g.; mountainous or hilly terrain).,text,column_header,N/A,-9999
S,N/A,Sulphur atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
S_N,N/A,Signal-to-noise ratio.,numeric,column_header,-9999,0.01
Sample_Name,N/A,"Name of sample. If the sample name includes the material (i.e. ##_###_Water) the row is referring to all of samples of that analysis of a given material. Individual samples follow the format of [Parent_ID]_[analysis-specific indicator code]-[replicate number] (i.e. ##_###_OCN-1). Not all sample types have replicates. See file ending in ""readme.pdf"" for more details.",text,column_header,N/A,-9999
Sediment,N/A,Estimated dominant sediment type/size class of streambed. Size/type classes include gravel/cobble (>2 millimeters); sand; silt/mud (<0.0625 millimeters); or bedrock (primarily).,text,column_header,N/A,-9999
Sediment_Collection_Depth,N/A,Depth of sediment collection.,text,column_header,N/A,-9999
Site_ID,N/A,Site ID.,text,column_header,N/A,-9999
Specific_Conductance,microsiemens per centimeter,Specific conductance. Electrical conductivity at 25 degrees celsius.,numeric,column_header,-9999,0.1
Standard,N/A,ESS-DIVE Reporting Format (https://ess-dive.lbl.gov/data-reporting-formats/) or other standard applied to the data file.,text,column_header,N/A,-9999
State_or_Province,N/A,State or province where sample was collected.,text,column_header,N/A,-9999
Stream_Name,N/A,Stream name.,text,column_header,N/A,-9999
Term_Type,N/A,"Indicates how the term is used in the data package (e.g., a column_header, row_header, data_flag, or other variable).",text,column_header,N/A,-9999
Time_Arriving,hh:mm UTC-07:00,Site arrival time. Recorded in Pacific Daylight Time.,time,column_header,-9999,-9999
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,row_header; column_header,N/A,-9999
Unit_Basis,N/A,Basis of the units listed in the column.,text,row_header,N/A,-9999
Water_Depth,centimeters,Depth of water.,numeric,column_header,-9999,0.01
Water_Status,N/A,"Indicates the status of the water during sediment sampling. One of the following classes from the provided controlled vocabulary may be selected:  wet and flowing, wet and pooled, saturated (wet, no water on surface), damp wet but not saturated), and dry.",text,column_header,N/A,-9999
Water_Temperature,degrees celcius,Temperature of the water.,numeric,column_header,-9999,0.001
Weather,N/A,Weather conditions (sunny; partly cloudy; overcast; raining; other) during sample collection.,text,column_header,N/A,-9999
