Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
HJW_41_ICR-3,6,0.6,0.382828191,1
HJW_42_ICR-1,6,0.8,0.445021462,1
HJW_42_ICR-2,93,0.6,0.105877239,1
HJW_42_ICR-3,6,0.6,0.337831261,1
HJW_43_ICR-1,9,0.6,0.43719531,1
HJW_43_ICR-2,7,0.6,0.320599223,1
HJW_43_ICR-3,15,0.6,0.257461895,1
HJW_44_ICR-1,8,0.6,0.367220003,1
HJW_44_ICR-2,6,0.9,0.568731111,1
HJW_44_ICR-3,6,0.9,0.458499276,1
HJW_45_ICR-1,7,1.4,0.857926524,1
HJW_45_ICR-2,6,1,0.45365447800000003,1
HJW_45_ICR-3,74,0.6,0.139497737,1
HJW_46_ICR-1,32,0.6,0.311864062,1
HJW_46_ICR-2,6,0.6,0.347241949,1
HJW_46_ICR-3,6,1,0.341564543,1
HJW_47_ICR-1,7,1.2,0.659307322,1
HJW_47_ICR-2,249,0.6,0.126270059,1
HJW_47_ICR-3,7,0.6,0.265926492,1
HJW_48_ICR-1,6,0.6,0.185973264,1
HJW_48_ICR-2,6,0.8,0.388314594,1
HJW_48_ICR-3,27,0.6,0.346091647,1
