Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
227.020453436,10,12,2,0,2,0,0,S2 O2,227.020595522,-0.625874417,C10H12O2S2,0.166666667,0.285714286,5,3,1,71.7,226.76696037,0.23303963,-0.4,0.2,1.2,0,0,-9999,Other,Lignin,Other,71.7,-152.041522789,0.097177236,0.085056238,717,-1520.415227892
195.066335667,10,12,4,0,0,0,0,O4,195.066282413,0.273003658,C10H12O4,0.166666667,0.375,5,1,1,71.7,194.848522853,0.151477147,-0.4,0.4,1.2,0,0,-9999,Lignin,Lignin,Other,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
287.016669728,10,12,4,2,2,0,0,N2 S2 O4,287.01657277,0.33781161,C10H12O4N2S2,0,0,6,2,-2,43.2,286.69618435,0.30381565,0.6,0.4,1.2,0.2,0,-9999,Lignin,Lignin,Protein,43.2,-132.596910763,0.12331573,0.107214761,432,-1325.96910763
251.07856998,10,12,4,4,0,0,0,N4 O4,251.07857843,-0.033658394,C10H12O4N4,0,0.25,7,3,-1,37.5,250.798213405,0.201786595,0.8,0.4,1.2,0.4,0,-9999,Lignin,Lignin,Protein,37.5,-114.32460475,0.128690679,0.12068664,375,-1143.246047498
211.061184672,10,12,5,0,0,0,0,O5,211.061197032,-0.058562549,C10H12O5,0,0.333333333,5,0,0,66,210.825511868,0.174488132,-0.2,0.5,1.2,0,0,-9999,Lignin,Lignin,Other,66,-141.759985447,0.114076155,0.095932566,660,-1417.599854472
239.067386262,10,12,5,2,0,0,0,N2 O5,239.067345041,0.172425319,C10H12O5N2,0,0.272727273,6,1,-1,48.9,238.800441483,0.199558517,0.4,0.5,1.2,0.2,0,-9999,Lignin,Lignin,Protein,48.9,-126.896910763,0.118339131,0.108182685,489,-1268.96910763
267.07353355,10,12,5,4,0,0,0,N4 O5,267.07349305,0.151643152,C10H12O5N4,0,0.142857143,7,2,-2,31.8,266.775316856,0.224683144,1,0.5,1.2,0.4,0,-9999,Lignin,Lignin,Protein,31.8,-112.033836079,0.134503539,0.125112112,318,-1120.338360788
243.033292449,10,12,5,0,1,0,0,S1 O5,243.033268207,0.099750818,C10H12O5S,0,0.230769231,5,0,-1,60.3,242.761919304,0.238080696,0,0.5,1.2,0,0,-9999,Lignin,Lignin,Other,60.3,-143.464601112,0.115696287,0.09631196,603,-1434.646011116
227.056066691,10,12,6,0,0,0,0,O6,227.056111652,-0.198017884,C10H12O6,0,0.285714286,5,-1,-1,60.3,226.802533858,0.197466142,0,0.6,1.2,0,0,-9999,Lignin,Lignin,Other,60.3,-139.469216776,0.115696287,0.098021263,603,-1394.692167761
272.032802701,10,12,6,1,0,1,0,N1 P1 O6,272.032947655,-0.532854354,C10H12O6NP,0,0.2,6,0,-2,66,271.729048443,0.270951557,-0.2,0.6,1.2,0.1,0.1,1,Lignin,Lignin,Phytochemical,66,-145.755369783,0.114076155,0.093622929,660,-1457.553697827
